timestamp, clocks.current.sm [MHz], pstate, utilization.gpu [%]
2026/08/31 16:34:40.795, 210 MHz, P8, 24 %
2026/08/31 16:34:40.826, 210 MHz, P8, 24 %
2026/08/31 16:34:40.856, 210 MHz, P8, 24 %
2026/08/31 16:34:40.887, 210 MHz, P8, 1 %
2026/08/31 16:34:40.918, 210 MHz, P8, 1 %
2026/08/31 16:34:40.949, 210 MHz, P8, 1 %
2026/08/31 16:34:40.979, 210 MHz, P8, 1 %
2026/08/31 16:34:41.009, 210 MHz, P8, 1 %
2026/08/31 16:34:41.041, 210 MHz, P8, 1 %
2026/08/31 16:34:41.072, 210 MHz, P8, 1 %
2026/08/31 16:34:41.103, 210 MHz, P8, 1 %
2026/08/31 16:34:41.133, 210 MHz, P8, 1 %
2026/08/31 16:34:41.163, 210 MHz, P8, 1 %
2026/08/31 16:34:41.193, 210 MHz, P8, 1 %
2026/08/31 16:34:41.224, 210 MHz, P8, 1 %
2026/08/31 16:34:41.255, 210 MHz, P8, 1 %
2026/08/31 16:34:41.284, 210 MHz, P8, 1 %
2026/08/31 16:34:41.316, 210 MHz, P8, 1 %
2026/08/31 16:34:41.348, 210 MHz, P8, 1 %
2026/08/31 16:34:41.378, 210 MHz, P8, 3 %
2026/08/31 16:34:41.410, 210 MHz, P8, 3 %
2026/08/31 16:34:41.440, 210 MHz, P8, 3 %
2026/08/31 16:34:41.471, 210 MHz, P8, 3 %
2026/08/31 16:34:41.503, 210 MHz, P8, 3 %
2026/08/31 16:34:41.534, 210 MHz, P8, 3 %
2026/08/31 16:34:41.565, 210 MHz, P8, 3 %
2026/08/31 16:34:41.597, 210 MHz, P8, 3 %
2026/08/31 16:34:41.628, 210 MHz, P8, 3 %
2026/08/31 16:34:41.658, 210 MHz, P8, 3 %
2026/08/31 16:34:41.689, 210 MHz, P8, 3 %
2026/08/31 16:34:41.719, 210 MHz, P8, 3 %
2026/08/31 16:34:41.748, 210 MHz, P8, 3 %
2026/08/31 16:34:41.778, 210 MHz, P8, 3 %
2026/08/31 16:34:41.808, 210 MHz, P8, 3 %
2026/08/31 16:34:41.838, 210 MHz, P8, 3 %
2026/08/31 16:34:41.868, 210 MHz, P8, 3 %
2026/08/31 16:34:41.900, 210 MHz, P1, 3 %
2026/08/31 16:34:41.931, 210 MHz, P1, 3 %
2026/08/31 16:34:41.961, 210 MHz, P1, 3 %
2026/08/31 16:34:41.992, 210 MHz, P1, 3 %
2026/08/31 16:34:42.023, 210 MHz, P1, 3 %
2026/08/31 16:34:42.055, 210 MHz, P1, 3 %
2026/08/31 16:34:42.085, 210 MHz, P1, 3 %
2026/08/31 16:34:42.116, 210 MHz, P1, 3 %
2026/08/31 16:34:42.147, 210 MHz, P1, 3 %
2026/08/31 16:34:42.179, 210 MHz, P1, 3 %
2026/08/31 16:34:42.210, 210 MHz, P1, 3 %
2026/08/31 16:34:42.240, 210 MHz, P1, 3 %
2026/08/31 16:34:42.271, 210 MHz, P1, 3 %
2026/08/31 16:34:42.303, 210 MHz, P1, 3 %
2026/08/31 16:34:42.334, 210 MHz, P1, 3 %
2026/08/31 16:34:42.366, 210 MHz, P1, 3 %
2026/08/31 16:34:42.398, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.431, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.461, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.493, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.525, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.555, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.586, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.617, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.648, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.679, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.709, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.739, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.770, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.801, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.832, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.863, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.895, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.926, 1500 MHz, P1, 0 %
