depth_k,cone_size,graft_ms,recompute_ms,total_ms,graft_allocs_KiB
1.0,3.0,0.8122,14.9765,15.7887,3950.6328125
2.0,3.0,0.7928,12.6508,13.4436,3949.9921875
3.0,3.0,0.7731,10.7935,11.5666,3949.9921875
4.0,3.0,0.8389,9.3247,10.1636,3940.7578125
5.0,3.0,1.9789,7.5523,9.5312,3939.9453125
6.0,3.0,0.7525999999999999,5.7429,6.4955,3940.7578125
7.0,3.0,0.7939,4.2045,4.9984,3937.1953125
