depth_k,cone_size,graft_ms,recompute_ms,total_ms
1.0,289.0,1.4148,10.6037,12.0185
2.0,248.0,1.4031,9.6538,11.0569
3.0,207.0,1.5247,9.6388,11.163499999999999
4.0,166.0,1.4179,7.7422,9.1601
5.0,125.0,1.5492,6.0253,7.5745
6.0,84.0,1.6075,4.1404,5.7479
7.0,43.0,1.3645,3.089,4.4535
